i_iyg,Fecha,Categoría general,Categoría específica,Detalle,Salida,Ingreso,Neto,Uso Fecha,Año,Mes
0,01/01/2026,Transporte,Publico,Bus,5.0,0.0,-5.0,2026-01-01,2026.0,Enero
1,15/01/2026,Transporte,Publico,Bus,5.0,0.0,-5.0,2026-01-15,2026.0,Enero
2,15/01/2026,Comida,Comida,Comida rápida,10.0,0.0,-10.0,2026-01-15,2026.0,Enero
3,15/01/2026,Entretenimiento,Cine,Cine,10.0,0.0,-10.0,2026-01-15,2026.0,Enero
4,15/02/2026,Comida,Comida,Comida familiar,24.0,0.0,-24.0,2026-02-15,2026.0,Febrero
5,15/02/2026,Salario,Salario,Salario,0.0,50.0,50.0,2026-02-15,2026.0,Febrero
6,15/03/2026,Deporte,Deporte,Gimnasio,8.0,0.0,-8.0,2026-03-15,2026.0,Marzo
7,15/03/2026,Ahorro,Ahorro,Intereses,0.0,3.0,3.0,2026-03-15,2026.0,Marzo
8,15/03/2026,Salario,Salario,Salario,0.0,50.0,50.0,2026-03-15,2026.0,Marzo
9,15/04/2026,Transporte,Publico,Bus,2.0,0.0,-2.0,2026-04-15,2026.0,Abril
10,15/04/2026,Salario,Salario,Salario,0.0,55.0,55.0,2026-04-15,2026.0,Abril
11,15/04/2026,Ahorro,Ahorro,Intereses,0.0,2.0,2.0,2026-04-15,2026.0,Abril
